Image,Class,Path,split
Image68,0,..\Images\Image68.jpg,1.0035328978920242
Image69,1,..\Images\Image69.jpg,0.36163602504763415
Image70,0,..\Images\Image70.jpg,-0.6451197546051243
Image71,0,..\Images\Image71.jpg,0.36139560550841393
Image72,0,..\Images\Image72.jpg,1.5380365664659692
Image73,1,..\Images\Image73.jpg,-0.03582603910995154
Image74,0,..\Images\Image74.jpg,1.5646436558140062
Image75,0,..\Images\Image75.jpg,-2.6197451040897444
Image76,0,..\Images\Image76.jpg,0.8219025043752238
Image77,0,..\Images\Image77.jpg,0.08704706823817122
Image78,1,..\Images\Image78.jpg,-0.29900735046586746
Image81,1,..\Images\Image81.jpg,-0.21967188783751193
Image82,1,..\Images\Image82.jpg,0.3571125715117464
Image83,0,..\Images\Image83.jpg,1.477894044741516
Image84,0,..\Images\Image84.jpg,-0.5182702182736474
Image86,1,..\Images\Image86.jpg,-0.5017570435845365
Image87,1,..\Images\Image87.jpg,0.9154021177020741
Image88,1,..\Images\Image88.jpg,0.32875110965968446
Image90,0,..\Images\Image90.jpg,0.5132674331133561
Image91,0,..\Images\Image91.jpg,0.09707754934804039
Image92,0,..\Images\Image92.jpg,0.9686449905328892
Image93,1,..\Images\Image93.jpg,-0.7020530938773524
Image94,1,..\Images\Image94.jpg,-0.3276621465977682
Image95,1,..\Images\Image95.jpg,-0.39210815313215763
Image99,0,..\Images\Image99.jpg,0.00511345664246089
Image101,0,..\Images\Image101.jpg,-1.4153707420504142
Image102,0,..\Images\Image102.jpg,-0.42064532276535904
Image103,0,..\Images\Image103.jpg,-0.3427145165267695
Image104,0,..\Images\Image104.jpg,-0.8022772692216189
Image105,0,..\Images\Image105.jpg,-0.16128571166600914
Image106,0,..\Images\Image106.jpg,0.4040508568145384
Image107,0,..\Images\Image107.jpg,1.8861859012105302
Image109,0,..\Images\Image109.jpg,0.25755039072276437
Image110,0,..\Images\Image110.jpg,-0.07444591576616721
Image111,0,..\Images\Image111.jpg,-1.9187712152990415
Image112,0,..\Images\Image112.jpg,-0.026513875449216878
Image113,1,..\Images\Image113.jpg,0.06023020994102644
Image114,1,..\Images\Image114.jpg,2.463242112485286
Image115,0,..\Images\Image115.jpg,-0.19236096478112252
Image116,0,..\Images\Image116.jpg,0.30154734233361247
Image117,0,..\Images\Image117.jpg,-0.03471176970524331
Image119,0,..\Images\Image119.jpg,1.1428228145150205
Image120,0,..\Images\Image120.jpg,0.7519330326867741
Image122,0,..\Images\Image122.jpg,-0.9093874547947389
Image123,1,..\Images\Image123.jpg,1.4027943109360992
Image125,0,..\Images\Image125.jpg,0.5868570938002703
Image126,0,..\Images\Image126.jpg,2.1904556258099785
Image127,0,..\Images\Image127.jpg,-0.9905363251306883
Image128,0,..\Images\Image128.jpg,-0.5662977296027719
Image129,0,..\Images\Image129.jpg,0.09965136508764122
Image130,0,..\Images\Image130.jpg,-0.5034756541161992
Image131,0,..\Images\Image131.jpg,-1.5506634310661327
Image132,1,..\Images\Image132.jpg,0.06856297480602733
Image133,1,..\Images\Image133.jpg,-1.0623037137261049
Image134,1,..\Images\Image134.jpg,0.4735924306351816
Image135,1,..\Images\Image135.jpg,-0.9194242342338032
Image136,1,..\Images\Image136.jpg,1.5499344050175394
Image137,0,..\Images\Image137.jpg,-0.7832532923362371
Image139,1,..\Images\Image139.jpg,0.8135172173696698
Image140,1,..\Images\Image140.jpg,-1.2308643164339552
Image141,0,..\Images\Image141.jpg,0.22745993460412942
Image142,0,..\Images\Image142.jpg,1.307142754282428
Image144,1,..\Images\Image144.jpg,0.1846338585323042
Image146,0,..\Images\Image146.jpg,0.7818228717773104
Image147,0,..\Images\Image147.jpg,-1.236950710878082
Image148,0,..\Images\Image148.jpg,-1.3204566130842763
Image150,1,..\Images\Image150.jpg,0.29698467323318606
Image151,1,..\Images\Image151.jpg,0.25049285034587654
Image152,1,..\Images\Image152.jpg,0.3464482094969757
Image153,1,..\Images\Image153.jpg,-0.6800247215784908
Image155,0,..\Images\Image155.jpg,0.29307247329868125
Image156,0,..\Images\Image156.jpg,-0.7143514180263678
Image157,0,..\Images\Image157.jpg,1.8657745111447566
Image158,0,..\Images\Image158.jpg,0.4738329209117875
Image160,0,..\Images\Image160.jpg,0.6565536086338297
Image161,0,..\Images\Image161.jpg,-0.9746816702273214
Image163,0,..\Images\Image163.jpg,1.158595579007404
Image164,0,..\Images\Image164.jpg,-0.8206823183517105
Image165,0,..\Images\Image165.jpg,0.9633761292443218
Image166,0,..\Images\Image166.jpg,0.4127809269364983
Image167,0,..\Images\Image167.jpg,0.82206015999449
Image169,0,..\Images\Image169.jpg,-0.2453881160028705
Image170,0,..\Images\Image170.jpg,-0.7537361643574896
Image172,0,..\Images\Image172.jpg,-0.8158102849654383
Image173,1,..\Images\Image173.jpg,-0.0771017094141042
Image174,1,..\Images\Image174.jpg,0.3411519748166439
Image176,0,..\Images\Image176.jpg,0.8271832490360238
Image177,1,..\Images\Image177.jpg,0.01300189187790702
Image179,0,..\Images\Image179.jpg,-0.2646568332379561
Image180,0,..\Images\Image180.jpg,2.720169166589619
Image182,0,..\Images\Image182.jpg,-0.8571575564162826
Image183,0,..\Images\Image183.jpg,-1.0708924980611123
Image185,0,..\Images\Image185.jpg,-0.2234627853258509
Image186,1,..\Images\Image186.jpg,0.714000494092092
Image189,0,..\Images\Image189.jpg,-0.846793718068405
Image190,0,..\Images\Image190.jpg,-1.5148472246858646
Image191,1,..\Images\Image191.jpg,-0.4465149520670211
Image192,1,..\Images\Image192.jpg,0.8563987943234723
Image193,1,..\Images\Image193.jpg,0.21409374413020396
Image194,0,..\Images\Image194.jpg,-1.245738778711988
Image195,0,..\Images\Image195.jpg,0.173180925851182
Image196,0,..\Images\Image196.jpg,0.3853173797288368
Image197,0,..\Images\Image197.jpg,-0.883857436201133
Image198,0,..\Images\Image198.jpg,0.1537251059455279
Image199,0,..\Images\Image199.jpg,0.058208718445999896
Image200,0,..\Images\Image200.jpg,-1.142970297830623
Image201,0,..\Images\Image201.jpg,0.3577873603482833
Image202,0,..\Images\Image202.jpg,0.5607845263682344
Image203,0,..\Images\Image203.jpg,1.083051243175277
Image204,0,..\Images\Image204.jpg,1.053802052034903
Image206,0,..\Images\Image206.jpg,-0.9378250399151228
Image208,0,..\Images\Image208.jpg,0.5137859509122088
Image209,0,..\Images\Image209.jpg,0.5150476863060479
Image211,0,..\Images\Image211.jpg,0.570890510693167
Image212,1,..\Images\Image212.jpg,1.135565640180599
Image213,1,..\Images\Image213.jpg,0.9540017634932023
Image214,1,..\Images\Image214.jpg,0.651391251305798
Image215,0,..\Images\Image215.jpg,-0.3152692446403456
Image216,0,..\Images\Image216.jpg,0.7589692204932674
Image217,0,..\Images\Image217.jpg,-0.7728252145375718
Image218,0,..\Images\Image218.jpg,-0.23681860674000887
Image220,0,..\Images\Image220.jpg,0.08187413938632256
Image221,0,..\Images\Image221.jpg,2.3146585666735087
Image223,0,..\Images\Image223.jpg,0.6862601903745135
Image224,0,..\Images\Image224.jpg,-1.6127158711896517
Image225,0,..\Images\Image225.jpg,-0.47193186578943347
Image226,1,..\Images\Image226.jpg,1.088950596967366
Image227,0,..\Images\Image227.jpg,0.06428001909546277
Image228,0,..\Images\Image228.jpg,-1.0777447779293061
Image230,0,..\Images\Image230.jpg,0.6795977489346758
Image231,0,..\Images\Image231.jpg,-0.7303666317171367
Image232,0,..\Images\Image232.jpg,0.21645858958197486
Image233,1,..\Images\Image233.jpg,0.045571839903813784
Image235,0,..\Images\Image235.jpg,2.1439440893253257
Image236,0,..\Images\Image236.jpg,0.6339190223180112
Image238,0,..\Images\Image238.jpg,0.18645431476942764
Image239,0,..\Images\Image239.jpg,-0.661786464768388
Image240,0,..\Images\Image240.jpg,0.852433334796224
Image242,0,..\Images\Image242.jpg,-0.11473644146689901
Image244,0,..\Images\Image244.jpg,0.8657551941701215
Image245,1,..\Images\Image245.jpg,-1.2002964070557762
Image247,1,..\Images\Image247.jpg,-0.4749453111609562
Image248,0,..\Images\Image248.jpg,-0.6533292325737119
Image249,0,..\Images\Image249.jpg,1.7654542402810969
Image250,0,..\Images\Image250.jpg,0.40498171096095553
Image251,0,..\Images\Image251.jpg,-1.2608839543350452
Image252,1,..\Images\Image252.jpg,0.9178619470547761
Image253,0,..\Images\Image253.jpg,2.1221561970126332
Image254,0,..\Images\Image254.jpg,1.0324652605511468
Image255,0,..\Images\Image255.jpg,-1.5193699659540134
Image256,0,..\Images\Image256.jpg,-0.48423407286625136
Image257,0,..\Images\Image257.jpg,1.2669111491866227
Image259,1,..\Images\Image259.jpg,0.44381942814622843
Image260,0,..\Images\Image260.jpg,0.7746340534293368
Image262,0,..\Images\Image262.jpg,-0.05952535606180008
Image264,1,..\Images\Image264.jpg,-1.0243876413342898
Image265,0,..\Images\Image265.jpg,-0.2525681513931603
Image266,0,..\Images\Image266.jpg,-1.2477831819648495
Image267,0,..\Images\Image267.jpg,1.6324113039316352
Image268,0,..\Images\Image268.jpg,-1.4301413779606327
Image269,0,..\Images\Image269.jpg,-0.44004448669698376
Image270,1,..\Images\Image270.jpg,0.13074057728609134
Image271,0,..\Images\Image271.jpg,1.4412732890661155
Image272,0,..\Images\Image272.jpg,-1.4358621511794394
Image273,1,..\Images\Image273.jpg,1.1631637521549596
Image274,1,..\Images\Image274.jpg,0.010233061019587049
Image275,1,..\Images\Image275.jpg,-0.9815086510479509
Image277,0,..\Images\Image277.jpg,0.19905969557347003
Image279,0,..\Images\Image279.jpg,0.06980208499001891
Image280,0,..\Images\Image280.jpg,-0.3853135968617602
Image281,0,..\Images\Image281.jpg,0.11351734525124804
Image282,0,..\Images\Image282.jpg,0.6621306745210467
Image283,0,..\Images\Image283.jpg,1.586016816145352
Image284,0,..\Images\Image284.jpg,-1.237815498826849
Image285,1,..\Images\Image285.jpg,2.1330333746562666
Image286,1,..\Images\Image286.jpg,-1.9520877995225019
Image287,0,..\Images\Image287.jpg,-0.15178509503558332
Image288,0,..\Images\Image288.jpg,0.5883172064845765
Image289,0,..\Images\Image289.jpg,0.28099186773503265
Image291,0,..\Images\Image291.jpg,-0.20812225035727522
Image292,0,..\Images\Image292.jpg,-0.4930009346588328
Image293,0,..\Images\Image293.jpg,-0.5893647569442115
Image294,1,..\Images\Image294.jpg,0.8496020970210246
Image295,1,..\Images\Image295.jpg,0.35701548596504734
Image296,1,..\Images\Image296.jpg,-0.6929095952606542
Image297,0,..\Images\Image297.jpg,0.8995998754332507
Image298,0,..\Images\Image298.jpg,0.30729952087660933
Image301,1,..\Images\Image301.jpg,-0.8289950109220723
Image302,1,..\Images\Image302.jpg,-0.5601810401969696
Image303,0,..\Images\Image303.jpg,0.7472936051232618
Image304,0,..\Images\Image304.jpg,0.6103702654334648
Image305,0,..\Images\Image305.jpg,-0.020901593964148132
Image306,0,..\Images\Image306.jpg,0.117327383308782
Image308,0,..\Images\Image308.jpg,-0.5915713888358299
Image309,0,..\Images\Image309.jpg,0.5470973811700379
Image310,1,..\Images\Image310.jpg,-0.20219265243389406
Image311,1,..\Images\Image311.jpg,-0.2176812032272203
Image312,1,..\Images\Image312.jpg,1.09877685198719
Image314,0,..\Images\Image314.jpg,0.8135096360006385
Image315,1,..\Images\Image315.jpg,1.305478807154329
Image316,1,..\Images\Image316.jpg,0.02100384163275905
Image317,1,..\Images\Image317.jpg,0.6819529712949639
Image318,0,..\Images\Image318.jpg,-0.31026675659345604
Image319,0,..\Images\Image319.jpg,0.3241663524884421
Image320,1,..\Images\Image320.jpg,-0.13014305436768459
Image322,1,..\Images\Image322.jpg,0.5951570254369136
Image323,1,..\Images\Image323.jpg,-0.8182206832334725
Image324,0,..\Images\Image324.jpg,2.0923872756854602
Image325,0,..\Images\Image325.jpg,-1.006017381499702
Image326,0,..\Images\Image326.jpg,-1.2141886127877322
Image327,0,..\Images\Image327.jpg,1.1581108735000678
Image328,0,..\Images\Image328.jpg,0.7916626939629359
Image329,0,..\Images\Image329.jpg,0.6241198170521551
Image330,0,..\Images\Image330.jpg,0.6283455092642799
Image332,1,..\Images\Image332.jpg,-0.8972543714858315
Image333,0,..\Images\Image333.jpg,0.07580455819372633
Image334,0,..\Images\Image334.jpg,-0.6771617115121117
Image336,1,..\Images\Image336.jpg,-0.14705738150213865
Image337,0,..\Images\Image337.jpg,-0.8254971967925115
Image338,0,..\Images\Image338.jpg,-0.32138584165299344
Image339,0,..\Images\Image339.jpg,0.41293145427562433
Image340,1,..\Images\Image340.jpg,-0.5637245528039747
Image341,0,..\Images\Image341.jpg,-0.8222203955664315
Image342,0,..\Images\Image342.jpg,0.2436872114919123
Image343,0,..\Images\Image343.jpg,0.24496657110872277
Image344,0,..\Images\Image344.jpg,-0.5069431753711298
Image345,1,..\Images\Image345.jpg,-0.4710383056183228
Image346,0,..\Images\Image346.jpg,0.2320499373576363
Image347,0,..\Images\Image347.jpg,-1.4480843414973241
Image351,1,..\Images\Image351.jpg,0.3109075655980046
Image352,0,..\Images\Image352.jpg,1.475356216949552
Image353,0,..\Images\Image353.jpg,0.8576596232020194
Image354,0,..\Images\Image354.jpg,-0.1599385299634271
Image355,0,..\Images\Image355.jpg,-0.01901620790268883
Image356,0,..\Images\Image356.jpg,-1.0025293646378088
Image357,0,..\Images\Image357.jpg,-0.01851313599238993
Image358,1,..\Images\Image358.jpg,-0.2886586389201383
Image359,0,..\Images\Image359.jpg,0.3227185603380895
Image361,0,..\Images\Image361.jpg,0.5193465142411723
Image362,0,..\Images\Image362.jpg,1.5327389130025777
Image364,0,..\Images\Image364.jpg,0.40171172209894146
Image365,0,..\Images\Image365.jpg,0.6901439917111125
Image366,0,..\Images\Image366.jpg,-0.40122047188583626
Image367,1,..\Images\Image367.jpg,0.22409248181041677
Image369,0,..\Images\Image369.jpg,0.09767609854883172
Image370,0,..\Images\Image370.jpg,-0.7730097838554665
Image371,0,..\Images\Image371.jpg,0.024510174258942714
Image372,0,..\Images\Image372.jpg,0.49799829124544975
Image374,0,..\Images\Image374.jpg,0.9592708260852069
Image375,0,..\Images\Image375.jpg,2.1531824575115563
Image376,1,..\Images\Image376.jpg,-0.7673475628880495
Image377,1,..\Images\Image377.jpg,0.8723206367206782
Image379,0,..\Images\Image379.jpg,2.1898029332176723
Image380,0,..\Images\Image380.jpg,-0.8082982853551515
Image381,1,..\Images\Image381.jpg,-0.8397218421807761
Image382,1,..\Images\Image382.jpg,-0.5993926454440222
Image383,0,..\Images\Image383.jpg,-2.123895724309807
Image385,0,..\Images\Image385.jpg,-0.759132661553698
Image387,0,..\Images\Image387.jpg,0.34175597577715944
Image388,0,..\Images\Image388.jpg,1.8761708392158862
Image389,0,..\Images\Image389.jpg,0.9504238381860503
Image390,0,..\Images\Image390.jpg,-0.5769036556624031
Image392,0,..\Images\Image392.jpg,0.4919191715065057
Image393,1,..\Images\Image393.jpg,-1.3202332070206422
Image394,0,..\Images\Image394.jpg,1.8314587658543537
Image395,0,..\Images\Image395.jpg,1.179440120721287
Image396,0,..\Images\Image396.jpg,-0.4691756521047048
Image397,0,..\Images\Image397.jpg,-1.7131345290908775
Image398,0,..\Images\Image398.jpg,1.3538723741654128
Image399,0,..\Images\Image399.jpg,-0.11453984525261789
Image400,1,..\Images\Image400.jpg,1.2378163119734618
Image401,1,..\Images\Image401.jpg,-1.594427658794367
Image402,0,..\Images\Image402.jpg,-0.5993750229537729
Image403,0,..\Images\Image403.jpg,0.005243699718183166
Image405,0,..\Images\Image405.jpg,-0.45006547147924364
Image406,0,..\Images\Image406.jpg,0.6228499323474987
Image407,0,..\Images\Image407.jpg,-1.0676204293825944
Image408,0,..\Images\Image408.jpg,-0.1423794850212935
Image409,1,..\Images\Image409.jpg,0.12029563171189886
Image410,1,..\Images\Image410.jpg,0.514438834058749
Image411,1,..\Images\Image411.jpg,0.7116148780888898
Image412,0,..\Images\Image412.jpg,-1.1246420918378692
Image413,0,..\Images\Image413.jpg,-1.5341141707356223
Image416,0,..\Images\Image416.jpg,-0.7484865365565536
Image417,0,..\Images\Image417.jpg,1.551151975522523
Image419,0,..\Images\Image419.jpg,1.1792971840638264
Image421,0,..\Images\Image421.jpg,2.060747924881987
Image423,0,..\Images\Image423.jpg,-0.2489641484790735
Image425,0,..\Images\Image425.jpg,0.6453759495851475
Image426,0,..\Images\Image426.jpg,1.3686315575323487
Image428,0,..\Images\Image428.jpg,0.6860514599984393
Image429,0,..\Images\Image429.jpg,1.0584244868495878
Image430,0,..\Images\Image430.jpg,-1.7587394864231143
Image431,0,..\Images\Image431.jpg,-1.183258512665775
Image433,0,..\Images\Image433.jpg,-0.26940683444455776
Image434,0,..\Images\Image434.jpg,0.7175422557959623
Image435,0,..\Images\Image435.jpg,1.502357052096028
Image436,0,..\Images\Image436.jpg,0.07409478041977519
Image437,1,..\Images\Image437.jpg,1.6286155455712918
Image438,1,..\Images\Image438.jpg,-1.3801014582148914
Image439,0,..\Images\Image439.jpg,-1.7033824393551547
Image441,0,..\Images\Image441.jpg,0.3840654489393073
Image442,0,..\Images\Image442.jpg,-0.03269474809409311
Image444,0,..\Images\Image444.jpg,-0.08912003951278841
Image446,0,..\Images\Image446.jpg,0.6696725488300385
Image448,1,..\Images\Image448.jpg,-0.9398797863273552
Image450,0,..\Images\Image450.jpg,-1.0592135218889516
Image451,0,..\Images\Image451.jpg,-0.06267909727317188
Image452,1,..\Images\Image452.jpg,0.9551423205012383
Image453,1,..\Images\Image453.jpg,-0.9857260463355437
Image454,1,..\Images\Image454.jpg,0.5040465155178444
Image455,0,..\Images\Image455.jpg,-0.5302576183724408
Image456,1,..\Images\Image456.jpg,-0.7928728322623442
Image457,0,..\Images\Image457.jpg,-0.10703035995455783
Image458,0,..\Images\Image458.jpg,-1.035242322419374
Image459,1,..\Images\Image459.jpg,-0.553649305347182
Image460,0,..\Images\Image460.jpg,-1.1978778925888485
Image461,0,..\Images\Image461.jpg,1.9647251329163893
Image462,0,..\Images\Image462.jpg,0.03526355197172861
Image463,0,..\Images\Image463.jpg,-0.6997255079925856
Image464,1,..\Images\Image464.jpg,0.213979910734222
Image465,1,..\Images\Image465.jpg,-0.11232804969082982
Image467,0,..\Images\Image467.jpg,0.6141667000434252
Image468,0,..\Images\Image468.jpg,0.7575077100473051
Image469,0,..\Images\Image469.jpg,-0.5305011476105275
Image470,0,..\Images\Image470.jpg,-0.57581824064468
Image471,0,..\Images\Image471.jpg,-0.275051697151644
Image472,0,..\Images\Image472.jpg,-2.301921164735585
Image473,0,..\Images\Image473.jpg,-1.5151910621985523
Image474,0,..\Images\Image474.jpg,1.3668742674445247
Image475,0,..\Images\Image475.jpg,1.6449677135012837
Image476,0,..\Images\Image476.jpg,-0.24903603955637832
Image477,1,..\Images\Image477.jpg,0.5765569630557664
Image478,0,..\Images\Image478.jpg,0.3112501545435361
Image480,1,..\Images\Image480.jpg,1.1195749114345768
Image481,1,..\Images\Image481.jpg,-0.12791759148076653
Image483,1,..\Images\Image483.jpg,-1.6064463202575725
Image484,1,..\Images\Image484.jpg,0.2034636358672231
Image485,0,..\Images\Image485.jpg,-0.7563507452843033
Image487,0,..\Images\Image487.jpg,-0.6465728842425266
Image488,0,..\Images\Image488.jpg,-1.081548003614395
Image489,0,..\Images\Image489.jpg,1.6871416350725648
Image491,0,..\Images\Image491.jpg,-0.007972641316617372
Image492,0,..\Images\Image492.jpg,1.4799441388900259
Image494,1,..\Images\Image494.jpg,-0.8612842013282637
Image495,1,..\Images\Image495.jpg,1.5231240772696573
Image496,0,..\Images\Image496.jpg,0.5389100436846587
Image497,0,..\Images\Image497.jpg,-1.0372461543264564
Image499,0,..\Images\Image499.jpg,-0.8756182533847572
Image501,0,..\Images\Image501.jpg,0.9261775475316414
Image502,0,..\Images\Image502.jpg,1.9094166404701305
Image504,0,..\Images\Image504.jpg,0.5629692366905709
Image505,0,..\Images\Image505.jpg,-0.6506425691218269
Image506,0,..\Images\Image506.jpg,-0.48712538376469605
Image508,1,..\Images\Image508.jpg,-0.863990769679816
Image509,1,..\Images\Image509.jpg,0.04852162794482699
Image510,0,..\Images\Image510.jpg,-0.8309501164110378
Image511,0,..\Images\Image511.jpg,0.2704568257798388
Image512,0,..\Images\Image512.jpg,-0.05023810944913695
Image513,0,..\Images\Image513.jpg,-0.23894804686640975
Image514,0,..\Images\Image514.jpg,-0.9075636620415979
Image515,0,..\Images\Image515.jpg,-0.5767713305683327
Image516,0,..\Images\Image516.jpg,0.755391225825756
Image518,1,..\Images\Image518.jpg,-0.977555244798551
Image520,0,..\Images\Image520.jpg,0.751387123371789
Image521,1,..\Images\Image521.jpg,-1.6694052811213718
Image523,1,..\Images\Image523.jpg,-0.6626237589458467
Image524,0,..\Images\Image524.jpg,0.5705986685931593
Image526,0,..\Images\Image526.jpg,-1.804882100664519
Image527,0,..\Images\Image527.jpg,-1.6275424378831627
Image528,1,..\Images\Image528.jpg,0.048084946661381994
Image529,0,..\Images\Image529.jpg,0.25972250172148187
Image530,0,..\Images\Image530.jpg,-0.9043166251044086
Image531,1,..\Images\Image531.jpg,0.6385924587773739
Image532,1,..\Images\Image532.jpg,-1.6615200622689599
Image533,1,..\Images\Image533.jpg,-0.06607979864731657
Image534,1,..\Images\Image534.jpg,-1.2110161997624567
Image535,0,..\Images\Image535.jpg,-0.6518361078021592
Image536,0,..\Images\Image536.jpg,0.047398671316414016
Image537,1,..\Images\Image537.jpg,-0.8604133652839524
Image538,1,..\Images\Image538.jpg,-0.38455554422982535
Image539,0,..\Images\Image539.jpg,1.0062928092144405
Image540,0,..\Images\Image540.jpg,-0.5768918695231487
Image541,0,..\Images\Image541.jpg,0.8356921120651418
Image543,0,..\Images\Image543.jpg,0.5298041779152828
Image544,0,..\Images\Image544.jpg,1.4415686206579004
Image545,1,..\Images\Image545.jpg,-2.4716445001272893
Image546,1,..\Images\Image546.jpg,-0.7968952554704768
Image549,0,..\Images\Image549.jpg,0.37114587337130883
Image550,0,..\Images\Image550.jpg,-0.6039851867158206
Image553,0,..\Images\Image553.jpg,1.1677820616598074
Image554,0,..\Images\Image554.jpg,0.2544208433012131
Image555,0,..\Images\Image555.jpg,0.3376026620752022
Image557,0,..\Images\Image557.jpg,-0.48760622407249354
Image558,0,..\Images\Image558.jpg,-0.4325581878196209
Image559,1,..\Images\Image559.jpg,0.39445214237829684
Image560,1,..\Images\Image560.jpg,-0.42098448082026296
Image561,1,..\Images\Image561.jpg,0.2897748568964129
Image563,1,..\Images\Image563.jpg,0.8711247034316923
Image564,0,..\Images\Image564.jpg,-0.32602353216784113
Image565,0,..\Images\Image565.jpg,1.2012139221639448
Image566,0,..\Images\Image566.jpg,-0.4080753730215514
Image567,0,..\Images\Image567.jpg,-2.038124535177854
Image568,1,..\Images\Image568.jpg,-1.008086310917404
Image569,1,..\Images\Image569.jpg,-1.8707919210258557
Image570,0,..\Images\Image570.jpg,-0.35151348404130867
Image571,0,..\Images\Image571.jpg,0.0184183791895517
Image572,0,..\Images\Image572.jpg,1.6764373122752827
Image575,0,..\Images\Image575.jpg,0.8294055811834892
Image576,0,..\Images\Image576.jpg,-2.211135309007885
Image578,0,..\Images\Image578.jpg,0.7708651938869668
Image581,1,..\Images\Image581.jpg,0.3384964074944141
Image582,0,..\Images\Image582.jpg,-0.4152879139008013
Image584,1,..\Images\Image584.jpg,2.270692857804396
Image585,0,..\Images\Image585.jpg,0.18186625505849516
Image586,0,..\Images\Image586.jpg,0.24822058630033608
Image587,0,..\Images\Image587.jpg,-0.4593608995402441
Image588,0,..\Images\Image588.jpg,-0.8498443694647918
Image589,0,..\Images\Image589.jpg,0.8303358165442456
Image591,1,..\Images\Image591.jpg,0.07156623721939247
Image592,1,..\Images\Image592.jpg,-0.4776574467651167
Image593,1,..\Images\Image593.jpg,0.47897982574639186
Image594,0,..\Images\Image594.jpg,0.3336621052869483
Image595,1,..\Images\Image595.jpg,1.0375399442578992
Image598,0,..\Images\Image598.jpg,-0.9787637157823074
Image599,0,..\Images\Image599.jpg,-0.4442932600761116
Image600,0,..\Images\Image600.jpg,0.3773004930448522
Image601,0,..\Images\Image601.jpg,0.7569886166453519
Image602,0,..\Images\Image602.jpg,-0.9221653241776254
Image603,0,..\Images\Image603.jpg,0.8696059201056602
Image605,1,..\Images\Image605.jpg,0.41343490322370086
Image606,1,..\Images\Image606.jpg,1.876795812558066
Image607,0,..\Images\Image607.jpg,-0.773789199103573
Image608,0,..\Images\Image608.jpg,-1.244654703311417
Image609,0,..\Images\Image609.jpg,-1.7787202489042786
Image610,0,..\Images\Image610.jpg,1.496044311489183
Image611,1,..\Images\Image611.jpg,0.6543656563540577
Image612,1,..\Images\Image612.jpg,-0.05558467091045507
Image613,0,..\Images\Image613.jpg,0.2799686263198203
Image614,0,..\Images\Image614.jpg,-1.1254890472983765
Image615,1,..\Images\Image615.jpg,2.4457519796168263
